x,t,u
0.98,0.524,-0.021396617141531404
1.0,0.524,0.0
-1.0,0.525,0.0
-0.98,0.525,0.021370558225242507
-0.96,0.525,0.04272831814617004
-0.94,0.525,0.06406036857105792
-0.92,0.525,0.08535357007720129
-0.9,0.525,0.10659443468317978
-0.88,0.525,0.12776899786339188
-0.86,0.525,0.14886268000828826
-0.84,0.525,0.16986013412773446
-0.8200000000000001,0.525,0.19074507619867245
-0.8,0.525,0.21150009406290074
-0.78,0.525,0.23210643017629073
-0.76,0.525,0.2525437327863322
-0.74,0.525,0.2727897692599545
-0.72,0.525,0.29282009428905337
-0.7,0.525,0.3126076645616776
-0.6799999999999999,0.525,0.3321223902038653
-0.6599999999999999,0.525,0.35133061188361925
-0.64,0.525,0.3701944909557183
-0.62,0.525,0.38867129847303244
-0.6,0.525,0.406712587397074
-0.5800000000000001,0.525,0.4242632310676884
-0.56,0.525,0.4412603101836657
-0.54,0.525,0.457631830564677
-0.52,0.525,0.4732952553320154
-0.5,0.525,0.48815583859482653
-0.48,0.525,0.5021047542670772
-0.45999999999999996,0.525,0.5150170246159997
-0.43999999999999995,0.525,0.5267492703053134
-0.42000000000000004,0.525,0.537137329237056
-0.4,0.525,0.5459938280251861
-0.38,0.525,0.5531058403460898
-0.36,0.525,0.5582328335418832
-0.33999999999999997,0.525,0.5611051908132872
-0.31999999999999995,0.525,0.5614237013687783
-0.29999999999999993,0.525,0.5588605315740728
-0.28,0.525,0.5530623168610377
-0.26,0.525,0.5436561279360346
-0.24,0.525,0.5302591340242282
-0.21999999999999997,0.525,0.5124927639156183
-0.19999999999999996,0.525,0.49000199191477245
-0.17999999999999994,0.525,0.4624799833800103
-0.16000000000000003,0.525,0.42969766711864765
-0.14,0.525,0.3915368433210746
-0.12,0.525,0.34802424835393114
-0.09999999999999998,0.525,0.2993627588141798
-0.07999999999999996,0.525,0.24595493128958337
-0.05999999999999994,0.525,0.1884137345153997
-0.040000000000000036,0.525,0.1275560113482044
-0.020000000000000018,0.525,0.06437610056933472
0.0,0.525,-2.7629768154267513e-16
0.020000000000000018,0.525,-0.06437610056933528
0.040000000000000036,0.525,-0.12755601134820496
0.06000000000000005,0.525,-0.18841373451540022
0.08000000000000007,0.525,-0.24595493128958384
0.10000000000000009,0.525,-0.29936275881418023
0.1200000000000001,0.525,-0.3480242483539316
0.14000000000000012,0.525,-0.391536843321075
0.15999999999999992,0.525,-0.4296976671186481
0.17999999999999994,0.525,-0.4624799833800106
0.19999999999999996,0.525,-0.4900019919147727
0.21999999999999997,0.525,-0.5124927639156185
0.24,0.525,-0.5302591340242284
0.26,0.525,-0.5436561279360348
0.28,0.525,-0.5530623168610379
0.30000000000000004,0.525,-0.5588605315740732
0.32000000000000006,0.525,-0.5614237013687786
0.3400000000000001,0.525,-0.5611051908132876
0.3600000000000001,0.525,-0.5582328335418835
0.3800000000000001,0.525,-0.5531058403460899
0.40000000000000013,0.525,-0.5459938280251863
0.41999999999999993,0.525,-0.5371373292370563
0.43999999999999995,0.525,-0.5267492703053135
0.45999999999999996,0.525,-0.5150170246159999
0.48,0.525,-0.5021047542670775
0.5,0.525,-0.48815583859482664
0.52,0.525,-0.4732952553320155
0.54,0.525,-0.45763183056467704
0.56,0.525,-0.4412603101836657
0.5800000000000001,0.525,-0.4242632310676884
0.6000000000000001,0.525,-0.406712587397074
0.6200000000000001,0.525,-0.3886712984730324
0.6400000000000001,0.525,-0.3701944909557183
0.6600000000000001,0.525,-0.35133061188361914
0.6799999999999999,0.525,-0.3321223902038652
0.7,0.525,-0.3126076645616775
0.72,0.525,-0.2928200942890533
0.74,0.525,-0.2727897692599545
0.76,0.525,-0.2525437327863322
0.78,0.525,-0.23210643017629068
0.8,0.525,-0.21150009406290066
0.8200000000000001,0.525,-0.1907450761986724
0.8400000000000001,0.525,-0.1698601341277344
0.8600000000000001,0.525,-0.1488626800082882
0.8800000000000001,0.525,-0.12776899786339183
0.9000000000000001,0.525,-0.10659443468317974
0.9199999999999999,0.525,-0.08535357007720126
0.94,0.525,-0.06406036857105789
0.96,0.525,-0.04272831814617003
0.98,0.525,-0.021370558225242496
1.0,0.525,0.0
-1.0,0.526,0.0
-0.98,0.526,0.02134456155507337
-0.96,0.526,0.042676351303295466
-0.94,0.526,0.06398248458060404
-0.92,0.526,0.08524984855141267
-0.9,0.526,0.10646498190827752
-0.88,0.526,0.12761394691112846
-0.86,0.526,0.14868219086875112
-0.84,0.526,0.16965439385938583
-0.8200000000000001,0.526,0.19051429909131692
-0.8,0.526,0.21124452180938513
-0.78,0.526,0.23182633204944608
-0.76,0.526,0.2522394058192259
-0.74,0.526,0.2724615384302788
-0.72,0.526,0.29246831271289736
-0.7,0.526,0.31223271370862393
